City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
228,Mehamn,NO,2022-05-16 18:08:15,71.0357,27.8492,37.31,71,100,20.58
229,Nieuw Amsterdam,SR,2022-05-16 18:08:16,5.8833,-55.0833,89.62,71,20,13.8
230,Byron Bay,AU,2022-05-16 18:08:17,-28.65,153.6167,69.71,94,64,8.68
231,San Quintin,MX,2022-05-16 18:08:17,30.4833,-115.95,66.07,67,53,14.52
232,Angoche,MZ,2022-05-16 18:08:18,-16.2325,39.9086,73.67,82,57,7.65
233,Codrington,AU,2022-05-16 18:08:18,-38.2667,141.9667,51.03,72,100,10.85
234,Dunedin,NZ,2022-05-16 18:08:19,-45.8742,170.5036,55.8,80,58,3.0
235,Mastic Beach,US,2022-05-16 18:08:19,40.7668,-72.8521,69.71,89,100,9.22
236,Aurangabad,IN,2022-05-16 18:08:20,19.8833,75.3333,92.03,25,2,10.85
237,Saldanha,ZA,2022-05-16 18:08:21,-33.0117,17.9442,67.12,47,42,8.61
238,Hobyo,SO,2022-05-16 18:08:21,5.3505,48.5268,80.98,83,38,25.99
239,Kruisfontein,ZA,2022-05-16 18:08:22,-34.0033,24.7314,72.88,33,0,7.14
240,Guadalupe Y Calvo,MX,2022-05-16 18:08:23,26.1,-106.9667,80.19,19,100,10.04
241,Vardo,NO,2022-05-16 18:08:23,70.3705,31.1107,37.38,70,75,21.85
242,Lira,UG,2022-05-16 18:08:24,2.235,32.9097,69.75,69,69,2.73
243,Tyrma,RU,2022-05-16 18:08:25,50.0833,132.1667,35.47,59,88,3.6
244,Pavlodar,KZ,2022-05-16 18:08:25,52.3,76.95,60.6,59,0,11.18
245,Sovetskiy,RU,2022-05-16 18:08:26,61.3614,63.5842,49.48,72,29,2.15
246,Baykit,RU,2022-05-16 18:08:27,61.67,96.37,53.08,90,95,4.09
247,Xam Nua,LA,2022-05-16 18:08:27,20.4197,104.0439,60.91,99,100,2.1
248,Richards Bay,ZA,2022-05-16 18:08:28,-28.783,32.0377,66.11,84,0,6.46
249,Hasilpur,PK,2022-05-16 18:08:29,29.7122,72.5553,96.58,13,0,9.57
250,Lasa,IT,2022-05-16 18:08:29,46.6166,10.7002,61.36,91,95,3.15
251,Santa Cruz,BO,2022-05-16 18:08:30,-17.8,-63.1667,71.06,53,75,23.02
252,Pangnirtung,CA,2022-05-16 18:08:30,66.1451,-65.7125,30.09,78,17,1.79
253,Iqaluit,CA,2022-05-16 18:08:31,63.7506,-68.5145,25.7,79,100,11.01
254,Vao,NC,2022-05-16 18:08:32,-22.6667,167.4833,73.87,77,16,17.38
255,Nanakuli,US,2022-05-16 18:08:32,21.3906,-158.1547,78.75,73,40,6.91
256,Kiruna,SE,2022-05-16 18:08:33,67.8557,20.2251,32.92,64,100,13.8
257,Opatija,HR,2022-05-16 18:08:34,45.3392,14.3083,70.48,83,33,1.21
258,Caronport,CA,2022-05-16 18:08:34,50.4501,-105.8179,65.37,38,100,13.04
259,Svobodnyy,RU,2022-05-16 18:08:35,51.4,128.1333,41.38,84,99,12.91
260,Davila,PH,2022-05-16 18:08:35,18.4726,120.5763,80.58,80,97,5.82
261,Esperantinopolis,BR,2022-05-16 18:08:36,-4.8667,-44.7083,88.75,62,100,2.64
262,Kalabo,ZM,2022-05-16 18:08:37,-14.97,22.6814,63.37,47,3,5.7
263,Bathsheba,BB,2022-05-16 18:08:38,13.2167,-59.5167,86.61,70,20,17.27
264,Coquimbo,CL,2022-05-16 18:08:39,-29.9533,-71.3436,60.53,63,20,9.22
265,Dingle,PH,2022-05-16 18:07:28,10.9995,122.6711,77.63,87,74,1.3
266,Tabou,CI,2022-05-16 18:08:40,4.423,-7.3528,81.23,81,100,7.78
267,Lompoc,US,2022-05-16 18:08:40,34.6391,-120.4579,69.62,71,0,25.32
268,Ust-Kuyga,RU,2022-05-16 18:08:41,70.0167,135.6,21.97,96,100,2.42
269,Moth,IN,2022-05-16 18:08:41,25.7167,78.95,98.35,7,1,10.85
270,Puerto Cabezas,NI,2022-05-16 18:08:42,14.0351,-83.3888,81.09,83,100,8.03
271,Lorca,ES,2022-05-16 18:08:43,37.6712,-1.7017,79.21,41,20,7.29
272,Toora-Khem,RU,2022-05-16 18:08:43,52.4675,96.11,51.04,89,100,2.93
273,Presidencia Roque Saenz Pena,AR,2022-05-16 18:08:44,-26.7852,-60.4388,63.25,29,3,12.3
274,Port Augusta,AU,2022-05-16 18:08:44,-32.5,137.7667,52.43,82,1,3.29
275,Igarka,RU,2022-05-16 18:08:45,67.4667,86.5833,36.01,100,100,7.74
276,Bakau,GM,2022-05-16 18:07:27,13.4781,-16.6819,84.34,61,0,9.22
277,Macau,MO,2022-05-16 18:08:46,22.2006,113.5461,69.53,78,20,12.66
278,Pierre,US,2022-05-16 18:06:09,44.3683,-100.351,76.05,33,0,9.22
279,Porto Novo,BJ,2022-05-16 18:08:47,6.4965,2.6036,82.74,77,100,9.84
280,Ambunti,PG,2022-05-16 18:08:47,-4.2365,142.8448,73.76,99,99,2.06
281,Galich,RU,2022-05-16 18:08:48,58.3797,42.3475,44.19,97,93,3.31
282,Pauini,BR,2022-05-16 18:08:49,-7.7136,-66.9764,77.41,96,97,2.73
283,Solvychegodsk,RU,2022-05-16 18:08:49,61.3305,46.9156,47.5,89,100,4.92
284,Terre Haute,US,2022-05-16 18:08:50,39.4667,-87.4139,78.26,37,0,11.5
285,Saint-Philippe,RE,2022-05-16 18:08:51,-21.3585,55.7679,71.19,80,96,11.41
286,Dharchula,IN,2022-05-16 18:08:51,29.85,80.5333,72.77,51,94,7.78
287,Burns Lake,CA,2022-05-16 18:08:52,54.2331,-125.7533,46.13,65,100,11.32
288,Najran,SA,2022-05-16 18:08:52,17.4924,44.1277,77.31,6,2,5.03
289,Maniitsoq,GL,2022-05-16 18:08:53,65.4167,-52.9,32.86,69,0,10.63
290,Axim,GH,2022-05-16 18:08:54,4.8699,-2.2405,81.45,79,88,5.93
291,Korla,CN,2022-05-16 18:08:54,41.7597,86.1469,72.75,32,99,10.2
292,Padang,ID,2022-05-16 18:08:55,-0.9492,100.3543,79.39,76,100,3.06
293,Santa Rosa,PH,2022-05-16 18:08:55,14.3122,121.1114,80.11,87,100,2.71
