City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
291,Kouroussa,GN,10.65,-9.8833,75.85,75,36,5.08,scattered clouds
292,Luderitz,NA,-26.6481,15.1594,74.73,29,0,20.31,clear sky
293,Acarau,BR,-2.8856,-40.12,76.96,90,90,10.22,overcast clouds
294,Westport,US,41.1415,-73.3579,63.19,87,20,8.05,few clouds
295,Zholymbet,KZ,51.7433,71.7122,73.58,30,22,17.9,few clouds
296,Margate,GB,51.3813,1.3862,57.69,87,99,3.69,overcast clouds
297,Talavera,PH,15.6167,120.9333,90.1,57,84,7.65,broken clouds
298,Sao Jose De Piranhas,BR,-7.1206,-38.5019,70.48,84,100,2.08,overcast clouds
299,Namibe,AO,-15.1961,12.1522,70.77,63,30,8.19,scattered clouds
300,Russell,US,32.3502,-85.1999,76.6,64,46,6.6,scattered clouds
301,Progreso,MX,21.2833,-89.6667,75.29,83,0,8.3,clear sky
302,San Jose,US,37.3394,-121.895,57.52,70,56,2.73,broken clouds
303,Porlamar,VE,10.958,-63.8491,78.89,94,81,13.8,broken clouds
304,Cap Malheureux,MU,-19.9842,57.6142,77.47,66,64,7.0,broken clouds
305,Carnarvon,AU,-24.8667,113.6333,74.32,53,0,9.64,clear sky
306,Leh,IN,34.1667,77.5833,51.06,34,10,4.27,clear sky
307,Kapuskasing,CA,49.4169,-82.4331,44.69,81,100,12.66,overcast clouds
308,Tiznit,MA,29.5833,-9.5,60.35,77,0,1.48,clear sky
309,Portland,US,45.5234,-122.6762,57.18,67,40,6.91,scattered clouds
310,Juegang,CN,32.3174,121.1855,84.94,33,0,9.8,clear sky
311,Kargil,IN,34.5667,76.1,52.48,31,4,3.89,clear sky
312,Troitskoye,RU,52.9821,84.6757,77.7,32,35,8.75,scattered clouds
313,Aleysk,RU,52.4926,82.7822,79.39,31,16,12.39,few clouds
314,Fredericksburg,US,38.3032,-77.4605,61.25,78,0,3.44,clear sky
315,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,71,0,7.0,clear sky
316,Simbahan,PH,6.3032,120.5836,83.07,69,100,3.85,overcast clouds
317,Swan Hill,AU,-35.3378,143.5544,60.8,49,70,10.09,broken clouds
318,Mataram,ID,-8.5833,116.1167,92.21,73,99,4.05,overcast clouds
319,Lyuban,BY,52.7985,28.0048,44.04,66,4,11.88,clear sky
320,Ouesso,CG,1.6136,16.0517,70.66,99,96,0.49,overcast clouds
321,Tafalla,ES,42.5269,-1.6745,58.08,64,0,2.04,clear sky
322,Kiama,AU,-34.6833,150.8667,70.25,40,0,12.75,clear sky
323,San Rafael,AR,-34.6177,-68.3301,39.79,51,0,3.91,clear sky
324,Acari,PE,-15.4311,-74.6158,66.79,68,33,3.4,scattered clouds
325,Karlstad,SE,59.3793,13.5036,43.36,56,1,11.5,clear sky
326,Makushino,RU,55.2103,67.2442,59.74,55,23,20.4,few clouds
327,Codrington,AU,-38.2667,141.9667,59.05,53,64,17.98,broken clouds
328,Antalaha,MG,-14.9003,50.2788,76.41,73,12,7.85,few clouds
329,Innisfail,AU,-17.5333,146.0333,79.29,65,0,5.17,clear sky
330,Otjiwarongo,NA,-20.4637,16.6477,53.65,54,0,14.32,clear sky
331,Buchanan,LR,5.8808,-10.0467,78.89,88,83,1.86,broken clouds
332,Semnan,IR,35.5729,53.3971,76.84,18,27,6.91,dust
333,Mizdah,LY,31.4451,12.9801,72.79,29,13,2.95,few clouds
334,Sola,VU,-13.8833,167.55,81.23,77,34,17.45,scattered clouds
335,Barrow,US,71.2906,-156.7887,17.62,73,100,10.36,light snow
336,Urumqi,CN,43.801,87.6005,72.55,33,0,6.71,clear sky
337,Kavaratti,IN,10.5669,72.642,80.47,82,100,26.82,overcast clouds
338,Teguldet,RU,57.3064,88.1667,73.8,42,100,10.2,overcast clouds
339,Dwarka,IN,22.2394,68.9678,85.86,65,0,15.7,clear sky
340,Mayo,US,38.8876,-76.5119,64.94,82,0,6.91,clear sky
341,Monticello,US,45.3055,-93.7941,57.24,60,20,4.61,few clouds
342,Polunochnoye,RU,60.8697,60.4153,60.19,47,44,2.8,scattered clouds
343,Saint George,US,37.1041,-113.5841,82.26,14,0,5.75,clear sky
344,Deputatskiy,RU,69.3,139.9,28.54,95,68,2.8,broken clouds
345,Jumla,NP,29.2747,82.1838,71.35,28,49,4.97,scattered clouds
346,Goundam,ML,16.4145,-3.6708,82.63,16,11,2.68,few clouds
