City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
555,Suicheng,CN,87.82,clear sky,33.8963,117.9331,Junyue Hotel
557,Kalmunai,LK,89.37,broken clouds,7.4167,81.8167,VS Villa
560,Rincon,US,76.96,clear sky,32.296,-81.2354,Days Inn Rincon
571,Hobyo,SO,83.12,clear sky,5.3505,48.5268,Iftin hotel hobyo
574,Bubaque,GW,79.03,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
575,Kloulklubed,PW,82.9,clear sky,7.0419,134.2556,Storyboard Beach Resort
576,Charters Towers,AU,83.71,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
580,Galesong,ID,87.82,scattered clouds,-5.3166,119.3661,Sapriadi Appy
600,Waingapu,ID,85.53,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
603,Meulaboh,ID,86.14,broken clouds,4.1363,96.1285,Kost Pria
604,Salinopolis,BR,78.94,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
605,Balkhash,KZ,79.41,clear sky,46.844,74.9804,Family
613,Matara,LK,82.11,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
614,Ranong,TH,87.73,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
617,Komsomolskiy,UZ,75.92,overcast clouds,40.4272,71.7189,Ikathouse
619,La Asuncion,VE,78.53,broken clouds,11.0333,-63.8628,Colinas de Matasiete
625,Manggar,ID,87.13,overcast clouds,-2.8833,108.2667,Guest Hotel
627,Chirongui,YT,82.33,clear sky,-12.9319,45.1483,La Villa Mahatsara
628,Nuevitas,CU,76.37,broken clouds,21.5453,-77.2644,Hotel Caonaba
629,Kupang,ID,87.93,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
631,Bull Savanna,JM,75.4,overcast clouds,17.8868,-77.5902,Big Red's
633,Marsh Harbour,BS,76.17,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
639,Sinnamary,GF,77.81,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
641,Lufilufi,WS,80.38,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
642,Maymyo,MM,80.58,overcast clouds,22.0333,96.4667,Tiger Hotel
643,Santa Marta,CO,84.25,broken clouds,11.2408,-74.199,Hotel La Ballena Azul
650,Mackay,AU,76.44,clear sky,-21.15,149.2,International Lodge Motel
653,Saint-Georges,GD,81.5,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
654,Kudahuvadhoo,MV,83.61,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
655,Lovington,US,81.45,broken clouds,32.944,-103.3485,Buena vida rv parks
656,Loa Janan,ID,83.46,overcast clouds,-0.583,117.095,Ss
657,Hangu,CN,86.04,scattered clouds,39.2489,117.7892,Chongli Xuexiang Family Express Inn
660,Awjilah,LY,76.03,clear sky,29.1081,21.2869,المنزل
